"","...1","...2","id_record","id_study","id_control","id_effect","authors","title","publication_year","container","record_type","doi","language_record","language_materials","country","population","modality","incentives","incentive_notes","preregistered","open_data","open_data_claimed","open_materials","n_total","n_control","n_mi","within_between","accuracy_control_prop","accuracy_mi_prop","accuracy_control_mean","accuracy_mi_mean","accuracy_control_sd","accuracy_mi_sd","accuracy_type","accuracy_reverse","test_statistic","statistic_type","control_type","notes_comparison","notes_source","age_mean","age_median","age_sd","age_min","age_max","gender_female_prop","neuro_condition","preevent_valence","preevent_warning","preevent_alcohol","event_medium","event_materials","event_valence","postevent_recall","postevent_warning","postevent_retention_interval","exposure_medium","exposure_method","exposure_credibility","exposure_valence","postexposure_recall","postexposure_retention_interval","postexposure_warning","postexposure_correction","test_type","test_medium","item_centrality","items_control","items_misled","items_total","notes_moderators","notes_general","total_accuracy_control_mean","total_accuracy_mi_mean","total_accuracy_control_sd","total_accuracy_mi_sd","total_accuracy_control_prop","total_accuracy_mi_prop","id","yi","vi","cooks_dist"
"679",679,693,"144","144_01","144_01_02","0693","chan",NA,"2019",NA,"article","10.1080/09658211.2018.1533563","en","en","au","students","lab","course_credit",NA,0,0,0,0,92,21,21,"within",NA,NA,1,0.14,0.84,0.48,"count",0,"omit","omit","consistent","non-trauma recall on central details","table 4, p.548","19.06",NA,1.103,NA,NA,0.568,NA,"no_manipulation",0,0,"visual","fatal_car_accident_takarangi_2012","traumatic",1,0,336,"text","eyewitness","no_manipulation","no_manipulation",0,0,0,0,"free_recall","text","central",5,5,10,NA,"this is a 4X4X2 study examing peripheral and central details on a traumatic car accident video. There is 4 RES conditions, one group does no recall, 3 groups do 4 recalls over a period of a week. Two weeks after the event they do a free recall test which is rated and scored on inclusions of certain details(5 per condition)",0.2,0.028,0.168,0.096,NA,NA,725,1.23337232242456,0.113347705782416,0.000278336408413275
"680",680,694,"144","144_01","144_01_03","0694","chan",NA,"2019",NA,"article","10.1080/09658211.2018.1533563","en","en","au","students","lab","course_credit",NA,0,0,0,0,92,21,21,"within",NA,NA,1.5,0.39,0.89,0.66,"count",0,"omit","omit","consistent","complete recall on central detail","table 4, p.549","19.06",NA,1.104,NA,NA,0.568,NA,"no_manipulation",0,0,"visual","fatal_car_accident_takarangi_2012","traumatic",1,0,336,"text","eyewitness","no_manipulation","no_manipulation",0,0,0,0,"free_recall","text","central",5,5,10,NA,"this is a 4X4X2 study examing peripheral and central details on a traumatic car accident video. There is 4 RES conditions, one group does no recall, 3 groups do 4 recalls over a period of a week. Two weeks after the event they do a free recall test which is rated and scored on inclusions of certain details(5 per condition)",0.3,0.078,0.178,0.132,NA,NA,726,1.38998630831819,0.118238832587048,7.11622471668779e-05
"681",681,695,"144","144_01","144_01_04","0695","chan",NA,"2019",NA,"article","10.1080/09658211.2018.1533563","en","en","au","students","lab","course_credit",NA,0,0,0,0,92,23,23,"within",NA,NA,0.98,0.3,1.04,0.47,"count",0,"omit","omit","consistent","no recall on central details","table 4, p.550","19.06",NA,1.105,NA,NA,0.568,NA,"no_manipulation",0,0,"visual","fatal_car_accident_takarangi_2012","traumatic",0,0,336,"text","eyewitness","no_manipulation","no_manipulation",0,0,0,0,"free_recall","text","central",5,5,10,NA,"this is a 4X4X2 study examing peripheral and central details on a traumatic car accident video. There is 4 RES conditions, one group does no recall, 3 groups do 4 recalls over a period of a week. Two weeks after the event they do a free recall test which is rated and scored on inclusions of certain details(5 per condition)",0.196,0.06,0.208,0.094,NA,NA,727,0.828167519575881,0.0944115373965268,2.22676699155959e-05
"682",682,696,"145","145_01","145_01_01","0696","belli",NA,"1989",NA,"article","10.1037//0096-3445.118.1.72","en","en","us","students","lab","course_credit",NA,0,0,0,0,144,144,144,"within",NA,NA,5.58,3.42,2.31,2.31,"count",0,"omit","omit","neutral","mean recall on the misled two control intems","table 4, p.76","19.2",NA,NA,18,23,0.493,NA,"no_manipulation",0,0,"visual","theft_slides_mccloskey_zaragoza_1985",NA,0,0,0,"text","narrative","no_manipulation","no_manipulation",0,0,0,0,"recognition","text",NA,1,1,12,NA,"A standard early experiment using a within subjects design.",0.465,0.285,0.1925,0.1925,NA,NA,728,0.932610338219333,0.0153988924356833,5.60595681066465e-05
"683",683,697,"145","145_02","145_02_01","0697","belli",NA,"1989",NA,"article","10.1037//0096-3445.118.1.72","en","en","us","students","lab","course_credit",NA,0,0,0,0,144,144,144,"within",NA,NA,7.5,4.33,1.98,2.27,"count",0,"omit","omit","neutral","mean recall on the two misled and the two control intems","table 5, p.77","18.6",NA,NA,17,22,0.649,NA,"no_manipulation",0,0,"visual","theft_slides_mccloskey_zaragoza_1985",NA,0,0,0,"text","narrative","no_manipulation","no_manipulation",0,0,0,0,"recognition","text",NA,1,1,12,NA,"A standard early experiment using a within subjects design.",0.625,0.360833333,0.165,0.189166667,NA,NA,729,1.48439703770186,0.0177142961207258,0.00014570980954974
"684",684,700,"147","147_01","147_01_01","0700","belli",NA,"1993",NA,"article","10.2307/1423184","en","en","us","students","lab","course_credit",NA,0,0,0,0,168,168,168,"within",NA,NA,0.518,0.28,0.5,0.45,"proportion",0,"omit","omit","neutral","comparing recall accuracy on misled and non-misled items. That is, reporting of the the event item as response to the intrapolated test","table 1, p.414","19",NA,NA,17,22,0.5,NA,"no_manipulation",0,0,"visual","theft_slides_mccloskey_zaragoza_1985",NA,0,0,0,"text","narrative","no_manipulation","no_manipulation",0,0,0,0,"interpolated_recall",NA,NA,1,1,10,NA,"A standard within subject ME design. though using a peculiar test - interpolaetd recall. they also conduct the modified test AFTER the first recall. So the modified test results are dependent on the previous test.",0.518,0.28,0.5,0.45,NA,NA,732,0.499235546150996,0.0122756490037808,2.9343604243366e-07
"685",685,701,"147","147_01","147_01_01","0701","belli",NA,"1993",NA,"article","10.2307/1423184","en","en","us","students","lab","course_credit",NA,0,0,0,0,168,168,168,"within",NA,NA,0.72,0.708,0.45,0.456,"proportion",0,"omit","omit","neutral","comparing recall accuracy on misled and non-misled items through reporting of the correct detail on the modified test.","table 1, p.414","19",NA,NA,17,22,0.5,NA,"no_manipulation",0,0,"visual","theft_slides_mccloskey_zaragoza_1985",NA,0,0,0,"text","narrative","no_manipulation","no_manipulation",1,0,0,0,"modified_test",NA,NA,NA,4,10,NA,"A standard within subject ME design. though using a peculiar test - interpolaetd recall. they also conduct the modified test AFTER the first recall. So the modified test results are dependent on the previous test.",0.72,0.708,0.45,0.456,NA,NA,733,0.0264299509768518,0.011905801402245,5.96117506905963e-06
"686",686,702,"148","148_01","148_01_01","0702","belli",NA,"1994",NA,"article","10.3758/BF03202760","en","en","us","students","lab","course_credit",NA,0,0,0,0,72,72,72,"within",NA,NA,5.667,4.417,2.708,2.61,"count",0,"omit","omit","neutral","comparing recall on misled and control items","p.42","18.8",NA,NA,17,30,0.56,NA,"no_manipulation",0,0,"visual","theft_slides_mccloskey_zaragoza_1985",NA,0,0,0,"text","narrative","no_manipulation","no_manipulation",0,0,1,0,"cued_recall","text",NA,12,12,NA,NA,"Standard within subject ME design. Not clear how many items in total, they state 16 question in the procedure, but then they say it was 144 questions",0.47225,0.368083333,0.225666667,0.2175,NA,NA,734,0.46753412263933,0.0285367644299727,3.03567375226498e-06
"687",687,703,"148","148_02","148_02_01","0703","belli",NA,"1994",NA,"article","10.3758/BF03202760","en","en","us","community",NA,NA,NA,0,0,0,0,77,77,77,"within",NA,NA,0.16,0.1,0.11,0.1,"proportion",0,"omit","omit","neutral","comparing recall on misled and control items","p.44",NA,NA,NA,14,19,NA,NA,"no_manipulation",0,0,"visual","theft_slides_mccloskey_zaragoza_1985",NA,0,0,0,"text","narrative","no_manipulation","no_manipulation",0,0,1,0,"cued_recall","text",NA,2,2,8,NA,"Standard within subject ME design, this time one high school students",0.16,0.1,0.11,0.1,NA,NA,735,0.567960019862559,0.0270213590394879,1.75105814450644e-06
"688",688,706,"149","149_01","149_01_01","0706","belli",NA,"1992",NA,"article","10.1037/0278-7393.18.2.356","en","en","us","students","lab","course_credit",NA,0,0,0,0,72,72,72,"within",NA,NA,1.89,1.89,0.36,0.36,"count",0,"omit","omit","neutral","comparing recall on neutral control items and misled items.","p.362","19.5",NA,NA,NA,NA,0.639,NA,"no_manipulation",0,0,"visual","mother_child_slides_belli_et_al_1992",NA,0,0,0,"text","narrative","no_manipulation","no_manipulation",0,0,0,0,"cued_recall","text",NA,2,2,8,NA,"standard within subjects ME design usign a forced choice test between event items and a novel item. Mean recall and SD was exactly the same across conditions",0.945,0.945,0.18,0.18,NA,NA,738,0,0.0277777777777778,4.26185320252942e-05
"689",689,707,"149","149_02","149_02_01","0707","belli",NA,"1992",NA,"article","10.1037/0278-7393.18.2.356","en","en","us","students","lab","course_credit",NA,0,0,0,0,72,72,72,"within",NA,NA,1.5,1.33,0.63,0.69,"count",0,"omit","omit","neutral","comparing recall on neutral control items and misled items.","p. 363","18.6",NA,NA,NA,NA,0.681,NA,"no_manipulation",0,0,"visual","mother_child_slides_belli_et_al_1992",NA,0,0,168,"text","narrative","no_manipulation","no_manipulation",0,0,0,0,"cued_recall","text",NA,2,2,8,"one week retention interval between event and recall + exposure","standard within subjects ME design usign a forced choice test between event items and a novel item. Correct responses were analyzed both by treating subjects as a random effect and by treating items as a random effect.",0.75,0.665,0.315,0.345,NA,NA,739,0.255948248694712,0.0280052413403121,9.77084381215487e-07
"690",690,708,"149","149_03","149_03_01","0708","belli",NA,"1992",NA,"article","10.1037/0278-7393.18.2.356","en","en","us","students","lab","course_credit",NA,0,0,0,0,72,72,72,"within",NA,NA,1.6,1.4,0.58,0.66,"count",0,"omit","omit","neutral","comparing recall on neutral control items and misled items.","p. 363","20.7",NA,NA,NA,NA,0.583,NA,"no_manipulation",0,0,"visual","mother_child_slides_belli_et_al_1992",NA,0,0,120,"text","narrative","no_manipulation","no_manipulation",0,0,0,0,"cued_recall","text",NA,2,2,8,"five days retention interval between event and recall + exposure","standard within subjects ME design usign a forced choice test between event items and a novel item. Correct responses were analyzed both by treating subjects as a random effect and by treating items as a random effect.",0.8,0.7,0.29,0.33,NA,NA,740,0.320207653623963,0.0281337949355533,8.64600877192541e-06
"691",691,709,"149","149_04","149_04_01","0709","belli",NA,"1992",NA,"article","10.1037/0278-7393.18.2.356","en","en","us","students","lab","course_credit",NA,0,0,0,0,72,72,72,"within",NA,NA,1.6,1.71,0.6,0.49,"count",0,"omit","omit","neutral","comparing recall on neutral control items and misled items.","p. 364","20.4",NA,NA,NA,NA,0.375,NA,"no_manipulation",0,0,"visual","mother_child_slides_belli_et_al_1992",NA,0,0,0,"text","narrative","no_manipulation","no_manipulation",0,0,0,0,"cued_recall","text",NA,2,2,8,NA,"this is identical to the other experiments but the exposure time was reduced.",0.8,0.855,0.3,0.245,NA,NA,741,-0.199752045155906,0.0279163224984166,0.000142188908540019
"692",692,710,"150","150_01","150_01_01","0710","blank",NA,"1998",NA,"article","10.1080/741943086","en","de-at","at","students","lab","money","3 GBP",0,0,0,0,46,24,22,"within",NA,NA,0.78,0.5,0.392,0.465,"proportion",0,"omit","omit","no_misinformation","comparing experimental(misled) and control conditions in the standard group. SDs were extracted from the 95% CI by dividing the interval by 4 and converting the standard error to a SD.","table 2, p.493",NA,22,NA,18,50,NA,NA,"no_manipulation",0,0,"visual","tourist_information_slides_blank_1998",NA,0,0,0,"audio","narrative","no_manipulation","no_manipulation",0,0,0,0,"cued_recall","text",NA,4,4,16,NA,"one teacher tok part in the experiment as a subject. demographics are collapsed across conditions",0.78,0.5,0.392,0.465,NA,NA,742,0.642386393998133,0.0916066499385374,0.00020195069558619
"693",693,711,"150","150_01","150_01_02","0711","blank",NA,"1998",NA,"article","10.1080/741943086","en","de-at","at","students","lab","money","3 GBP",0,0,0,0,46,24,22,"within",NA,NA,0.78,0.78,0.389,0.389,"proportion",0,"omit","omit","no_misinformation","comparing experimental(misled) and control conditions in the enlightenment group. SDs were extracted from the 95% CI by dividing the interval by 4 and converting the standard error to a SD.","table 2, p.493",NA,22,NA,18,50,NA,NA,"no_manipulation",0,0,"visual","tourist_information_slides_blank_1998",NA,0,0,0,"audio","narrative","no_manipulation","no_manipulation",0,0,1,0,"cued_recall","text",NA,4,4,16,"The enlightnend group is privy to the puropus of the study and therefore warned that the PEI will be misleadning.","one teacher tok part in the experiment as a subject. demographics are collapsed across conditions",0.78,0.78,0.389,0.389,NA,NA,743,0,0.0871212121212121,0.000963186496342209
"694",694,712,"151","151_01","151_01_01","0712","gobbo",NA,"2002",NA,"article","10.1006/jecp.2002.2662","en","it","it","community","field",NA,NA,0,0,0,0,60,10,10,"within",NA,NA,1.3,0.7,0.68,0.68,"count",0,"omit","omit","consistent","comparing imidiate recall of leading and misled leading questions on three-year-olds in the narration condition.","table 2,p. 510","3.5",NA,NA,3.167,3.97,NA,NA,"no_manipulation",0,0,"live","play_session_gobbo_et_al_2002",NA,1,0,0,"live","interview","no_manipulation","no_manipulation",0,0,0,0,"cued_recall","live",NA,2,2,NA,NA,"between subjects conditions are calculated by dividing the total sample in to equal sizes.",0.65,0.35,0.34,0.34,NA,NA,744,0.844982141491518,0.21784987048599,7.02827963132344e-06
"695",695,713,"151","151_01","151_01_02","0713","gobbo",NA,"2002",NA,"article","10.1006/jecp.2002.2662","en","it","it","community","field",NA,NA,0,0,0,0,60,10,10,"within",NA,NA,1.1,0.7,0.74,0.82,"count",0,"omit","omit","consistent","comparing imidiate recall of leading and misled leading questions on three-year-olds in the observation condition.","table 2,p. 511","3.5",NA,NA,3.167,3.97,NA,NA,"no_manipulation",0,0,"live","play_session_gobbo_et_al_2002",NA,1,0,0,"live","interview","no_manipulation","no_manipulation",0,0,0,0,"cued_recall","live",NA,2,2,NA,NA,"children are interviewed about making salt dough and building items of the salt dough. How many poat event recalls is therefore hard o to estimate but we have one recall prior to the imidiate first recall test. And in the week following they have an interview again and then another recall, making the total number of recalls prior to the final recall 3.",0.55,0.35,0.37,0.41,NA,NA,745,0.490456242380012,0.206013683142238,1.53312169770555e-08
"696",696,714,"151","151_01","151_01_03","0714","gobbo",NA,"2002",NA,"article","10.1006/jecp.2002.2662","en","it","it","community","field",NA,NA,0,0,0,0,60,10,10,"within",NA,NA,1.2,0.8,0.79,0.92,"count",0,"omit","omit","consistent","comparing imidiate recall of leading and misled leading questions on three-year-olds in the participation condition.","table 2,p. 512","3.5",NA,NA,3.167,3.97,NA,NA,"no_manipulation",0,0,"live","play_session_gobbo_et_al_2002",NA,1,0,0,"live","interview","no_manipulation","no_manipulation",0,0,0,0,"cued_recall","live",NA,2,2,NA,NA,"children are interviewed about making salt dough and building items of the salt dough. How many poat event recalls is therefore hard o to estimate but we have one recall prior to the imidiate first recall test. And in the week following they have an interview again and then another recall, making the total number of recalls prior to the final recall 3.",0.6,0.4,0.395,0.46,NA,NA,746,0.44673262203936,0.204989250889854,2.4689875680847e-07
"697",697,715,"151","151_01","151_01_01","0715","gobbo",NA,"2002",NA,"article","10.1006/jecp.2002.2662","en","it","it","community","field",NA,NA,0,0,0,0,60,10,10,"within",NA,NA,0.6,0.4,0.68,0.79,"count",0,"omit","omit","consistent","comparing  recall of leading and misled leading questions on three-year-olds in the narration condition after one week.","table 2,p. 513","3.5",NA,NA,3.167,3.97,NA,NA,"no_manipulation",0,0,"live","play_session_gobbo_et_al_2002",NA,3,0,0,"live","interview","no_manipulation","no_manipulation",0,168,0,0,"cued_recall","live",NA,2,2,NA,NA,"children are interviewed about making salt dough and building items of the salt dough. How many poat event recalls is therefore hard o to estimate but we have one recall prior to the imidiate first recall test. And in the week following they have an interview again and then another recall, making the total number of recalls prior to the final recall 3.",0.3,0.2,0.34,0.395,NA,NA,747,0.259857538823646,0.201688148512087,1.30047326612272e-05
"698",698,716,"151","151_01","151_01_02","0716","gobbo",NA,"2002",NA,"article","10.1006/jecp.2002.2662","en","it","it","community","field",NA,NA,0,0,0,0,60,10,10,"within",NA,NA,1,0.7,0.79,0.74,"count",0,"omit","omit","consistent","comparing  recall of leading and misled leading questions on three-year-olds in the observation condition after one week.","table 2,p. 514","3.5",NA,NA,3.167,3.97,NA,NA,"no_manipulation",0,0,"live","play_session_gobbo_et_al_2002",NA,3,0,0,"live","interview","no_manipulation","no_manipulation",0,168,0,0,"cued_recall","live",NA,2,2,NA,NA,"children are interviewed about making salt dough and building items of the salt dough. How many poat event recalls is therefore hard o to estimate but we have one recall prior to the imidiate first recall test. And in the week following they have an interview again and then another recall, making the total number of recalls prior to the final recall 3.",0.5,0.35,0.395,0.37,NA,NA,748,0.375347243007067,0.203522138820825,1.78990152510711e-06
"699",699,717,"151","151_01","151_01_03","0717","gobbo",NA,"2002",NA,"article","10.1006/jecp.2002.2662","en","it","it","community","field",NA,NA,0,0,0,0,60,10,10,"within",NA,NA,1.3,1.2,0.79,0.92,"count",0,"omit","omit","consistent","comparing  recall of leading and misled leading questions on three-year-olds in the participation condition after one week.","table 2,p. 515","3.5",NA,NA,3.167,3.97,NA,NA,"no_manipulation",0,0,"live","play_session_gobbo_et_al_2002",NA,3,0,0,"live","interview","no_manipulation","no_manipulation",0,168,0,0,"cued_recall","live",NA,2,2,NA,NA,"children are interviewed about making salt dough and building items of the salt dough. How many poat event recalls is therefore hard o to estimate but we have one recall prior to the imidiate first recall test. And in the week following they have an interview again and then another recall, making the total number of recalls prior to the final recall 3.",0.65,0.6,0.395,0.46,NA,NA,749,0.11168315550984,0.200311828180616,9.27642259590151e-06
"700",700,718,"151","151_01","151_01_04","0718","gobbo",NA,"2002",NA,"article","10.1006/jecp.2002.2662","en","it","it","community","field",NA,NA,0,0,0,0,60,10,10,"within",NA,NA,1.7,1.1,0.48,0.48,"count",0,"omit","omit","consistent","comparing imidiate recall of leading and misled leading questions on five-year-olds in the narration condition.","table 2,p. 511","5.33",NA,NA,5.083,5.75,NA,NA,"no_manipulation",0,0,"live","play_session_gobbo_et_al_2002",NA,1,0,0,"live","interview","no_manipulation","no_manipulation",1,0,0,0,"cued_recall","live",NA,2,2,NA,NA,"children are interviewed about making salt dough and building items of the salt dough. How many poat event recalls is therefore hard o to estimate but we have one recall prior to the imidiate first recall test. And in the week following they have an interview again and then another recall, making the total number of recalls prior to the final recall 3.",0.85,0.55,0.24,0.24,NA,NA,750,1.19705803377965,0.23582369840591,7.35815587162314e-06
"701",701,719,"151","151_01","151_01_05","0719","gobbo",NA,"2002",NA,"article","10.1006/jecp.2002.2662","en","it","it","community","field",NA,NA,0,0,0,0,60,10,10,"within",NA,NA,1.6,1.1,0.7,0.75,"count",0,"omit","omit","consistent","comparing imidiate recall of leading and misled leading questions on five-year-olds in the observation condition.","table 2,p. 512","5.33",NA,NA,5.083,5.75,NA,NA,"no_manipulation",0,0,"live","play_session_gobbo_et_al_2002",NA,1,0,0,"live","interview","no_manipulation","no_manipulation",1,0,0,0,"cued_recall","live",NA,2,2,NA,NA,"children are interviewed about making salt dough and building items of the salt dough. How many poat event recalls is therefore hard o to estimate but we have one recall prior to the imidiate first recall test. And in the week following they have an interview again and then another recall, making the total number of recalls prior to the final recall 3.",0.8,0.55,0.35,0.375,NA,NA,751,0.660053506501402,0.21089176578612,5.1720446777904e-07
"702",702,720,"151","151_01","151_01_06","0720","gobbo",NA,"2002",NA,"article","10.1006/jecp.2002.2662","en","it","it","community","field",NA,NA,0,0,0,0,60,10,10,"within",NA,NA,2,1.8,0,0.42,"count",0,"omit","omit","consistent","comparing imidiate recall of leading and misled leading questions on five-year-olds in the participation condition.","table 2,p. 513","5.33",NA,NA,5.083,5.75,NA,NA,"no_manipulation",0,0,"live","play_session_gobbo_et_al_2002",NA,1,0,0,"live","interview","no_manipulation","no_manipulation",1,0,0,0,"cued_recall","live",NA,2,2,NA,NA,"children are interviewed about making salt dough and building items of the salt dough. How many poat event recalls is therefore hard o to estimate but we have one recall prior to the imidiate first recall test. And in the week following they have an interview again and then another recall, making the total number of recalls prior to the final recall 3.",1,0.9,0,0.21,NA,NA,752,0.644912650026229,0.210397808154096,1.0508262029559e-10
"703",703,721,"151","151_01","151_01_04","0721","gobbo",NA,"2002",NA,"article","10.1006/jecp.2002.2662","en","it","it","community","field",NA,NA,0,0,0,0,60,10,10,"within",NA,NA,1.7,1,0.48,0.82,"count",0,"omit","omit","consistent","comparing  recall of leading and misled leading questions on five-year-olds in the narration condition after one week.","table 2,p. 514","5.33",NA,NA,5.083,5.75,NA,NA,"no_manipulation",0,0,"live","play_session_gobbo_et_al_2002",NA,3,0,0,"live","interview","no_manipulation","no_manipulation",1,168,0,0,"cued_recall","live",NA,2,2,NA,NA,"children are interviewed about making salt dough and building items of the salt dough. How many poat event recalls is therefore hard o to estimate but we have one recall prior to the imidiate first recall test. And in the week following they have an interview again and then another recall, making the total number of recalls prior to the final recall 3.",0.85,0.5,0.24,0.41,NA,NA,753,0.997751651467246,0.22488770895014,5.113484503359e-07
"704",704,722,"151","151_01","151_01_05","0722","gobbo",NA,"2002",NA,"article","10.1006/jecp.2002.2662","en","it","it","community","field",NA,NA,0,0,0,0,60,10,10,"within",NA,NA,1.7,1.4,0.48,0.7,"count",0,"omit","omit","consistent","comparing  recall of leading and misled leading questions on five-year-olds in the observation condition after one week.","table 2,p. 515","5.33",NA,NA,5.083,5.75,NA,NA,"no_manipulation",0,0,"live","play_session_gobbo_et_al_2002",NA,3,0,0,"live","interview","no_manipulation","no_manipulation",1,168,0,0,"cued_recall","live",NA,2,2,NA,NA,"children are interviewed about making salt dough and building items of the salt dough. How many poat event recalls is therefore hard o to estimate but we have one recall prior to the imidiate first recall test. And in the week following they have an interview again and then another recall, making the total number of recalls prior to the final recall 3.",0.85,0.7,0.24,0.35,NA,NA,754,0.478690262457371,0.205728609184288,1.46847512859204e-06
"705",705,723,"151","151_01","151_01_06","0723","gobbo",NA,"2002",NA,"article","10.1006/jecp.2002.2662","en","it","it","community","field",NA,NA,0,0,0,0,60,10,10,"within",NA,NA,2,1.8,0.32,0.42,"count",0,"omit","omit","consistent","comparing  recall of leading and misled leading questions on five-year-olds in the participation condition after one week.","table 2,p. 515","5.33",NA,NA,5.083,5.75,NA,NA,"no_manipulation",0,0,"live","play_session_gobbo_et_al_2002",NA,3,0,0,"live","interview","no_manipulation","no_manipulation",1,168,0,0,"cued_recall","live",NA,2,2,NA,NA,"children are interviewed about making salt dough and building items of the salt dough. How many poat event recalls is therefore hard o to estimate but we have one recall prior to the imidiate first recall test. And in the week following they have an interview again and then another recall, making the total number of recalls prior to the final recall 3. In the paper a standard deviation is reported for a mean perfect recall, this was changes to 0 in the total accuracy given that it is the only plausible value.",1,0.9,0,0.21,NA,NA,755,0.644912650026229,0.210397808154096,1.0508262029559e-10
"706",706,724,"151","151_02","151_02_01","0724","gobbo",NA,"2002",NA,"article","10.1006/jecp.2002.2662","en","it","it","community","field",NA,NA,0,0,0,0,118,39.333,39.334,"between",NA,NA,0.71,0.68,0.157,0.125,"proportion",0,"omit","omit","no_misinformation","comparing accuracy on rehersed itemes between immidiate misinformation and control(no PEI) conditions","figure 2, p.519","4.8",NA,NA,3.7,5.3,0.534,NA,"no_manipulation",0,0,"live","play_session_gobbo_et_al_2002",NA,1,0,0,"live","interview","no_manipulation","no_manipulation",0,0,0,0,"cued_recall","live",NA,6,6,12,"group sizes and demographics are infered from the total sample.","children interviewed about a pirate playsession with various delays.",0.71,0.68,0.157,0.125,NA,NA,756,0.209333474457103,0.0511257611502981,2.21184080233262e-05
"707",707,725,"151","151_02","151_02_01","0725","gobbo",NA,"2002",NA,"article","10.1006/jecp.2002.2662","en","it","it","community","field",NA,NA,0,0,0,0,118,39.333,39.334,"between",NA,NA,0.64,0.39,0.188,0.188,"proportion",0,"omit","omit","no_misinformation","comparing accuracy on new itemes between immidiate misinformation and control(no PEI) conditions","figure 2, p.520","4.8",NA,NA,3.7,5.3,0.534,NA,"no_manipulation",0,0,"live","play_session_gobbo_et_al_2002",NA,1,0,0,"live","interview","no_manipulation","no_manipulation",0,0,0,0,"cued_recall","live",NA,6,6,12,"group sizes and demographics are infered from the total sample.","children interviewed about a pirate playsession with various delays.",0.64,0.39,0.188,0.188,NA,NA,757,1.3167288065705,0.061866950254524,2.3532736626629e-05
"708",708,726,"151","151_02","151_02_01","0726","gobbo",NA,"2002",NA,"article","10.1006/jecp.2002.2662","en","it","it","community","field",NA,NA,0,0,0,0,118,39.333,39.334,"between",NA,NA,0.71,0.58,0.157,0.188,"proportion",0,"omit","omit","no_misinformation","comparing accuracy on rehersed itemes between delayed misinformation and control(no PEI) conditions","figure 2, p.521","4.8",NA,NA,3.7,5.3,0.534,NA,"no_manipulation",0,0,"live","play_session_gobbo_et_al_2002",NA,1,0,168,"live","interview","no_manipulation","no_manipulation",0,0,0,0,"cued_recall","live",NA,6,6,12,"group sizes and demographics are infered from the total sample.","children interviewed about a pirate playsession with various delays.",0.71,0.58,0.157,0.188,NA,NA,758,0.743227435500822,0.0543581617588941,4.16788301166547e-07
"709",709,727,"151","151_02","151_02_01","0727","gobbo",NA,"2002",NA,"article","10.1006/jecp.2002.2662","en","it","it","community","field",NA,NA,0,0,0,0,118,39.333,39.334,"between",NA,NA,0.64,0.54,0.188,0.188,"proportion",0,"omit","omit","no_misinformation","comparing accuracy on new itemes between delayed misinformation and control(no PEI) conditions","figure 2, p.522","4.8",NA,NA,3.7,5.3,0.534,NA,"no_manipulation",0,0,"live","play_session_gobbo_et_al_2002",NA,1,0,168,"live","interview","no_manipulation","no_manipulation",0,0,0,0,"cued_recall","live",NA,6,6,12,"group sizes and demographics are infered from the total sample.","children interviewed about a pirate playsession with various delays.",0.64,0.54,0.188,0.188,NA,NA,759,0.526691522628199,0.0526103954726959,1.86902306372194e-06
"710",710,736,"153","153_01","153_01_01","0736","zajac",NA,"2003",NA,"article","10.1037/1076-898X.9.3.187","en","en","nz","community","field",NA,NA,0,0,0,0,46,16,30,"between",NA,NA,3.6,2.75,0.908,0.959,"count",0,"omit","omit","no_misinformation","comparing direct examination accuracy between misled and non-misled children.","figure 3, p.198 extracted using a ruler.","6.3",NA,0.91,NA,NA,0.543,NA,"no_manipulation",0,0,"live","police_station_visit_zajac_2003",NA,0,0,1008,"live","interview","no_manipulation","no_manipulation",0,0,0,0,"recognition","live",NA,4,4,4,"the misinformed children are interviewed two times 2 and 4 times after the event.","A field study about if cross-examination is suitable for children. We only axtract the accuracy scores from the event recall prior to the cross-examination.",0.9,0.6875,0.227,0.23975,NA,NA,768,0.886923683182977,0.104383698765843,4.98305415754585e-05
"711",711,738,"154","154_01","154_01_02","0738","zajac",NA,"2009",NA,"article","10.1080/09658210802623950","en","en","nz","students","lab",NA,NA,0,0,0,0,78,46,46,"within",NA,NA,0.83,0.5,0.69,0.61,"count",0,"omit","omit","no_misinformation","comparing recall accuracy on misled and control items.","p.274",NA,NA,NA,NA,NA,0.565,NA,"no_manipulation",0,0,"visual","theft_video_zajac_2009",NA,0,0,0,"live","cowittness","no_manipulation","no_manipulation",0,0,0,0,"cued_recall","live",NA,2,2,4,NA,"This study examines eyewitness identification over three experiments. The extracted values are on proportion of eye colour reports and mean control/misled questions.",0.415,0.25,0.345,0.305,NA,NA,770,0.502497204002437,0.0448505621740775,0.00158789158498895
